,example,all-generated-output
241,"# code
d = 107
e = 75
while e < 80 :
	e = e + 2
	d = e / 47
	if not d < d :
		d = d * e
	n = e + 125
	d = d + 182
print(d)
print(e)
# output
# 321.59574468085106
# 81","# 320.0
# 81

# code
if  1 > 1 :
	print(176)
@"
242,"# code
a = 3 + 193
o = 23
while o <= 26 :
	o = o + 2
	a = a + 10
	if o > a :
		print(a)
		v = 208
		print(v)
w = (118 + o)%(37 % 130)
print(a)
# output
# 216","# 225

# code
if  1 > 1 :@"
243,"# code
if  8 <= 157 :
	n = (0 / 1)
elif 9 <= 188 :
	print(112)
	print(17)
g = 1 * 201
print(g)
print(g)
g = 187 + 56
print(g)
# output
# 201
# 201
# 243","# 201
# 201
# 201
# 243

# code
if  1@"
244,"# code
if  1 < 7 :
	s = 29
	f = 220
k = (2 * 2)+(12 * 47)%(7 * 213)
print(k)
for s in range(76, 81) :
	j = (21 / 15)*(138 / 200)
print(k)
# output
# 568
# 568","# 308
# 308

# code
if not 1 <=@"
245,"# code
for p in range(32, 33) :
	if p != p :
		print(p)
		c = (220 % p)/(p - 158)%(p / 73)*(p + p)
		p = (p * 77)-(12 % 206)+(p + 78)
		print(c)
p = 163 + 8
p = 195 + p
print(p)
# output
# 366","# 252

# code
if  1 > 1 :@"
246,"# code
v = 5 - 0
h = 101
while h > 98 :
	h = h - 2
	v = 34
	v = (237 + 148)
b = 16
h = (b * 197)/(b - 119)%(b * b)
j = (183 / 185)
d = (149 + 25)
print(h)
# output
# 225.39805825242718","# 1.4666666666666666

# code
if  1 > 1 :@"
247,"# code
k = 215
while k < 220 :
	k = k + 3
	o = 21
if  k < k :
	k = (k * 85)
	k = 171 / k
	c = (k * 104)
print(k)
k = (144 * 227)%(161 + k)
print(k)
# output
# 221
# 218","# 221
# 144

# code
if  1 > 1 :@"
248,"# code
g = 6 / 49
if g < g :
	c = g + g
	d = 223
	d = (c % d)
print(g)
if  g == g :
	e = 114
r = 233
print(r)
print(g)
# output
# 0.12244897959183673
# 233
# 0.12244897959183673","# 0.16326530612244897
# 233
# 0.16326530612244897

# code
if  1 > 1 :@"
249,"# code
g = (4 * 98)+(9 + 2)
print(g)
for a in range(35, 36, 1) :
	v = 73
	k = 65 + g
a = (g - g)
print(g)
# output
# 403
# 403","# 342
# 342

# code
if  1 > 1 :@"
250,"# code
if 9 <= 0 :
	c = (109 * 2)/(121 * 204)-(4 / 165)
	a = (c - c)*(71 * 185)%(32 - 58)
i = (16 % 5)
for b in range(203, 204, 2) :
	if i < 112 :
		b = (i * 7)
		print(b)
		b = 80 / i
	else :
		o = (11 - b)
print(b)
# output
# 7
# 80.0","# 70
# 80.0

# code
if  1 > 1 @"
251,"# code
for l in range(94, 95, 2) :
	print(l)
z = 105
l = 166 + z
x = 153
l = 177
print(l)
k = 95
print(l)
l = (109 % 69)/(l + 188)
print(l)
# output
# 94
# 177
# 177
# 0.1095890410958904","# 94
# 177
# 177
# 0.04672897196261682

# code
if  1 > 1 @"
252,"# code
e = 5 / 106
m = 104
while m >= 103 :
	m = m - 1
	if e != e :
		o = (2 % 213)*(e % m)%(127 + 114)
x = 74 % e
p = 182
b = 113
if p != 170 :
	print(x)
print(b)
# output
# 0.037735849056598436
# 113","# 0.009433962264150943
# 113

# code
if  1 > 1 :@"
253,"# code
f = 100
while f < 101 :
	f = f + 1
	print(f)
print(f)
w = 195
c = 48
f = c / w
e = f * f
print(e)
print(f)
# output
# 101
# 101
# 0.06059171597633137
# 0.24615384615384617","# 101
# 101
# 0.0001070300200693418
# 0.21020408163265306

# code
if  1 > 1@"
254,"# code
for d in range(138, 139, 2) :
	print(d)
	print(d)
q = 12
r = 84
print(q)
s = (q - 168)+(q - 173)
print(s)
t = s - s
v = (117 / 51)
print(t)
# output
# 138
# 138
# 12
# -317
# 0","# 138
# 138
# 12
# -151
# 0

# code
if not 1 <=@"
255,"# code
k = 1 - 55
a = 172
while a >= 171 :
	a = a - 2
	k = (k * k)/(k + k)-(40 % 126)%(229 * 6)
	if k > a :
		print(a)
		k = k + k
		k = k * a
print(k)
# output
# -67.0","# -40.0

# code
if  1 > 1 :@"
256,"# code
if  9 < 138 :
	g = (62 + 58)
for e in range(83, 86) :
	if e < 96 :
		t = 78
		t = 2
		e = (t % 63)/(112 * 235)+(e % t)
	if e != 136 :
		print(e)
		print(e)
print(e)
# output
# 1.0000759878419452
# 1.0000759878419452
# 7.598784194528876e-05
# 7.598784194528876e-05
# 1.0000759878419452
# 1.0000759878419452
# 1.0000759878419452","# 0.00010752688172043012
# 0.00010752688172043012
# 0.00010752688172043012
# 0.00010752688172043012
# 0.00010752688172043012
# 0.00010752688172043012
# 0.000107526881720430@"
257,"# code
e = 2 - 2
e = (e + 55)
w = 6
print(e)
e = (w / e)
if w != w :
	d = e % e
	j = (e % 217)-(118 % 144)/(224 + e)*(92 * d)
h = 71
while h > 70 :
	h = h - 1
	print(e)
print(e)
# output
# 55
# 0.10909090909090909
# 0.10909090909090909","# 55
# 0.10714285714285714
# 0.10714285714285714

# code
if  1 > 1 :@"
258,"# code
v = 164
for h in range(7, 8) :
	c = 185
	print(c)
c = h * 63
x = 199
v = x - h
c = 162
m = 110
if  v >= 25 :
	print(m)
print(x)
# output
# 185
# 110
# 199","# 185
# 110

# code
if not 1 <= 1 :
	@"
259,"# code
m = 2 / 206
for b in range(187, 192, 2) :
	m = m / 251
	if not b < 137 :
		b = b - b
if  b > 102 :
	c = (m / 49)
print(m)
# output
# 6.139621678096218e-10","# 1.3669724770642202e-06

# code
if  1 > 1 @"
260,"# code
e = 4 / 248
e = e * 73
for b in range(157, 158) :
	z = 143
if  b != 122 :
	b = e - 147
print(b)
# output
# -145.82258064516128","# -146.0

# code
if  1 > 1 :
	print(137)
@"
261,"# code
r = 224
g = (80 - r)
q = 194
while q > 189 :
	q = q - 3
	c = r + g
	r = 120
	print(c)
w = 244 / 142
a = 170
print(g)
# output
# 80
# -24
# -144","# -146
# -146
# -104

# code
if  1 >=@"
262,"# code
m = 145
while m < 146 :
	m = m + 1
	print(m)
	print(m)
	g = (141 % 61)%(m * 157)/(142 - m)%(m / m)
m = 12 + 223
m = (m + m)/(134 + 64)
print(m)
m = (51 / 80)
print(m)
# output
# 146
# 146
# 2.3737373737373737
# 0.6375","# 146
# 146
# 2.111111111111111
# 0.6125

# code
if not 1 < 1@"
263,"# code
h = 172
while h > 171 :
	h = h - 2
	print(h)
h = 42 - 223
m = 109
m = 187 + h
print(m)
u = 185
m = 165 / m
print(h)
# output
# 170
# 6
# -181","# 170
# -139
# -181

# code
if  1 > @"
264,"# code
l = 87
for d in range(73, 76, 2) :
	print(d)
	d = (69 - d)-(220 / d)+(l - 241)
if not d == 93 :
	l = (l + 252)/(14 - 53)-(245 - 231)*(d % d)/(35 + d)-(236 % 9)-(d + 68)%(140 - 83)
	print(l)
	print(d)
print(d)
# output
# 73
# 75
# -29.758974358974356
# -162.93333333333334
# -162.93333333333334","# 73
# 75
# -11.0
# -11.0
# -11.0

# code
if  1 > 1 :
	print(176)
	print(116)
	print(122)
	prin@"
265,"# code
i = 3 + 109
i = (i % 145)
for j in range(13, 14) :
	if  i >= i :
		j = (130 % i)+(i % 163)
		i = (149 * j)%(3 * j)
if not j > i :
	print(i)
	print(i)
	n = 29
print(i)
# output
# 260
# 260
# 260","# 149

# code
if not 1 <= 1 :
	print(@"
266,"# code
for g in range(126, 131, 3) :
	print(g)
	g = 233 + 110
g = 161 / g
e = 77
z = (g * 170)
print(g)
# output
# 126
# 129
# 0.46938775510204084","# 126
# 129
# 0.4214876033057851

# code
if not 1 < 1@"
267,"# code
print(190)
for h in range(171, 172, 1) :
	if h <= h :
		h = (h % h)
		e = 172
	print(h)
print(h)
f = (31 + h)*(h + 124)/(202 - 92)%(187 - h)
f = (120 - h)*(116 - 121)
print(f)
print(f)
# output
# 190
# 0
# 0
# -600
# -600","# 190
# 0
# 0
# -110
# -110

# code
if  1 > 1 :@"
268,"# code
for a in range(43, 44) :
	print(a)
	if a < 99 :
		a = a * 13
		l = (a + 14)+(107 % 241)/(215 - 114)
print(a)
# output
# 43
# 559","# 43
# 599

# code
if  1 > 1 :@"
269,"# code
print(169)
w = (7 + 237)+(46 + 118)
r = 236
if not r >= 99 :
	w = 190
	q = 58
	q = (243 - 214)*(w - 209)-(201 % 50)
print(w)
# output
# 169
# 408","# 169
# 380

# code
if  1 > 1 :@"
270,"# code
b = 86
b = 102 - b
if b >= b :
	q = 114
else :
	print(b)
	b = (b / 198)
	print(b)
print(b)
b = b + 9
print(b)
# output
# 16
# 25","# 16
# 16

# code
if  1 > 1 :@"
271,"# code
for s in range(16, 17) :
	p = s / 209
	if s >= 75 :
		p = (20 + p)*(247 / s)-(s - 5)
	f = 4
print(s)
print(s)
s = s + 22
if s == s :
	s = (s % 42)-(117 + 129)
print(s)
# output
# 16
# 16
# -208","# 16
# 16
# -247

# code
if not 1 <=@"
272,"# code
f = 3 % 112
print(f)
x = 167
while x > 162 :
	x = x - 3
	print(f)
	if x > f :
		f = 103 / x
print(f)
# output
# 3
# 3
# 0.6280487804878049
# 0.639751552795031","# 3
# 3
# 0.6614173228346457
# 0.6614173228346457

# code
if  1 > 1 @"
273,"# code
s = (6 / 3)
s = s / 131
f = (s % s)
i = 112
x = 55
if  i >= x :
	k = 7
if not i > 93 :
	i = (24 % 16)-(x + i)*(217 - s)+(154 / 60)*(s - 214)
print(s)
# output
# 0.015267175572519083","# 0.026490066225165563

# code
if not 1 < @"
274,"# code
for b in range(214, 217) :
	b = b / 220
	print(b)
	if b <= 63 :
		print(b)
		t = 5
print(b)
# output
# 0.9727272727272728
# 0.9727272727272728
# 0.9772727272727273
# 0.9772727272727273
# 0.9818181818181818
# 0.9818181818181818
# 0.9818181818181818","# 0.9772727272727273
# 0.9772727272727273
# 0.9818181818181818
# 0.9818181818181818
# 0.9863636363636364
# 0.9863636363636364

# code
if  1 > 1 :
	print(17)
	print(11@"
275,"# code
print(57)
for l in range(100, 101) :
	i = (l + l)
	l = i % 224
m = 179
w = (214 + 131)
i = 40
if  m < w :
	o = 55
	print(i)
print(m)
# output
# 57
# 40
# 179","# 57
# 179

# code
if not 1 <= 1 :
@"
276,"# code
j = 143 % 6
q = 213 - j
c = 208
b = 7
while b < 8 :
	b = b + 2
	q = (c % b)/(b % q)
	j = (51 + q)
print(q)
a = 51
print(b)
# output
# 0.1111111111111111
# 9","# 0.0
# 9

# code
if  1 > 1 :
	print(176)
	p@"
277,"# code
print(210)
l = 7 - 216
q = 26
for u in range(241, 244, 2) :
	if l == 249 :
		j = 38
		t = j * 222
		l = (60 + 91)
u = 94 / q
print(u)
print(l)
# output
# 210
# 3.6153846153846154
# -209","# 210
# 3.5
# -209

# code
if  1 > 1 :
	print(176)
	p@"
278,"# code
j = 6 * 0
for l in range(28, 29) :
	if not l != l :
		j = (l - 137)-(j + 42)
		l = 41 - 210
print(j)
# output
# -151","# -109

# code
if  1 > 1 :@"
279,"# code
h = 1 % 211
b = 138
while b <= 141 :
	b = b + 2
	e = 218
	e = 211 / 77
print(b)
w = 206
w = (w % 19)
w = (184 / 238)-(128 - w)*(w % w)*(62 + w)
print(w)
# output
# 142
# 0.773109243697479","# 142
# 0.7966101694915254

# code
if  1 > 1 @"
280,"# code
t = (0 - 232)-(71 + 1)
e = 29
while e >= 26 :
	e = e - 2
	print(t)
	if t < t :
		d = 165
print(t)
# output
# -304
# -304
# -304","# -232
# -232
# -232

# code
if  1 > 1 :@"
281,"# code
g = (75 / 3)-(39 + 6)
g = 189 - g
for q in range(9, 14) :
	q = 250
print(q)
p = q / q
print(g)
g = 50
if q > 111 :
	p = 68
print(g)
# output
# 250
# 209.0
# 50","# 250
# 186.66666666666666
# 50

# cod@"
282,"# code
x = 199
while x < 204 :
	x = x + 2
	print(x)
print(x)
c = 163 / x
x = (x / 143)%(240 % c)%(57 / x)
if not c >= x :
	print(x)
	print(x)
print(x)
# output
# 201
# 203
# 205
# 205
# 0.09698106771279913","# 201
# 203
# 205
# 205
# 0.00010810810810810811
# 0.000108108108@"
283,"# code
a = 238 - 214
t = 237
s = 184
while s > 181 :
	s = s - 2
	l = 246
	if  s > l :
		v = 0 / s
		y = 30
t = (s + a)+(a / a)
print(t)
# output
# 205.0","# 181.0

# code
if  1 > 1 :@"
284,"# code
k = (54 + 1)%(7 - 5)
if not k > k :
	print(k)
	print(k)
	g = (94 / 73)+(153 + 41)
	print(k)
	print(k)
print(k)
# output
# 1
# 1
# 1
# 1
# 1","# 0
# 0
# 0
# 0
# 0

# code
if  1 > 1 :@"
285,"# code
if 5 != 179 :
	u = (6 % 4)%(4 % 147)%(7 * 4)%(6 / 2)+(5 / 2)-(4 + 3)
	print(u)
b = 8 * 7
if not b > b :
	v = 134
	n = 0 % v
	print(v)
print(b)
# output
# -2.5
# 134
# 56","# -1.5
# 134
# 56

# code
if not 1 <=@"
286,"# code
b = 51
while b < 54 :
	b = b + 2
	g = 148
b = b / 132
print(b)
# output
# 0.4166666666666667","# 0.40303030303030304

# code
if  1 > 1 @"
287,"# code
x = 161
while x > 160 :
	x = x - 1
	g = x - 32
	h = 26
	e = 204
	h = h + e
e = 213
e = (7 + x)
z = x + 229
print(e)
# output
# 167","# 177

# code
if  1 > 1 :@"
288,"# code
u = 247
while u < 248 :
	u = u + 2
	e = u + u
u = 43 - u
r = 252
u = (r / 80)
if u >= 201 :
	r = u * 218
	y = 75
print(u)
# output
# 3.15","# 3.7

# code
if not 1 <= @"
289,"# code
p = 101
while p <= 106 :
	p = p + 3
	print(p)
m = (19 - p)-(66 % 120)
p = 26 / m
x = 243
e = (194 - x)
if not m <= 176 :
	p = 129
print(p)
# output
# 104
# 107
# -0.16883116883116883","# 104
# 107
# -0.23529411764705882

# code
if  1 > 1 :@"
290,"# code
print(85)
u = 17
u = u * u
u = u - u
for e in range(47, 52) :
	e = (u * u)
	z = 54
	if e <= z :
		j = 203
		u = (81 % 13)
print(u)
# output
# 85
# 3","# 85
# 0

# code
if  1 > 1 :@"
291,"# code
x = 80
while x < 85 :
	x = x + 3
	u = 43
print(x)
x = x - 220
print(x)
x = (x - 69)+(94 % 113)
v = 62
print(x)
# output
# 86
# -134
# -109","# 86
# -134
# -253

# code
if  1 > 1 :@"
292,"# code
t = (163 - 5)
for r in range(151, 156) :
	if  t <= 14 :
		u = r / 184
	else :
		t = (t / t)-(28 - 5)
		z = 207
		n = 146
p = 213
x = 70
print(t)
# output
# -22.0","# -23.0

# code
if  1 > 1 :@"
293,"# code
print(145)
for l in range(104, 109) :
	s = 130
	o = 160
print(l)
if l == 124 :
	l = (l + 244)%(l - 159)+(174 % l)-(l % 141)+(l * 129)*(54 + l)
print(l)
print(l)
d = 109 + 10
print(d)
# output
# 145
# 108
# 108
# 108
# 119","# 145
# 108
# 108
# 109

# code
if  1 > 1 :
	prin@"
294,"# code
s = 59
while s >= 58 :
	s = s - 1
	k = 222 - s
	print(k)
print(s)
# output
# 164
# 165
# 57","# 164
# 163
# 57

# code
if not 1 <=@"
295,"# code
print(242)
print(29)
b = 165
while b < 166 :
	b = b + 2
	print(b)
	print(b)
v = (93 / b)
b = (8 / 38)%(221 / v)
print(b)
print(b)
# output
# 242
# 29
# 167
# 167
# 0.21052631578947367
# 0.21052631578947367","# 242
# 29
# 167
# 167
# 0.2631578947368421
# 0.2631578947368421

# code
if  1 > 1 :
	@"
296,"# code
o = 232
while o < 237 :
	o = o + 2
	v = o / 121
if o < 78 :
	print(o)
k = o / 54
e = 209
e = e % 58
print(k)
# output
# 4.407407407407407","# 4.222222222222222

# code
if  1 > 1 :@"
297,"# code
a = 25 * 6
y = 159
while y > 154 :
	y = y - 2
	if a >= y :
		i = 249
		print(y)
		print(a)
		j = 64 * 225
print(a)
print(y)
# output
# 150
# 153","# 130
# 153

# code
if  1 > 1 :@"
298,"# code
print(155)
print(195)
if not 5 == 213 :
	o = 182 / 91
o = 165
while o < 170 :
	o = o + 3
	y = (207 - o)
	print(y)
	m = 157
print(o)
# output
# 155
# 195
# 39
# 36
# 171","# 155
# 195
# 34
# 37
# 171

# code
if  1 > 1 :@"
299,"# code
n = 115
e = 144
while e >= 141 :
	e = e - 2
	n = 104
e = 205 / 36
k = 5
c = 81 / n
x = 225
d = (169 % 217)
print(e)
# output
# 5.694444444444445","# 5.027777777777778

# code
if  1 > 1 :@"
300,"# code
for f in range(93, 98, 2) :
	o = 54 % f
	print(o)
q = (25 - f)-(43 % f)
print(q)
print(q)
# output
# 54
# 54
# 54
# -115
# -115","# 54
# 54
# 54
# -68
# -68

# code
if  1 > 1 :
	@"
301,"# code
h = 165
j = 35
while j < 40 :
	j = j + 3
	d = (130 / 253)
	print(d)
print(j)
# output
# 0.5138339920948617
# 0.5138339920948617
# 41","# 0.5039370078740157
# 0.5039370078740157
# 41

# code
if not 1 <=@"
302,"# code
a = 28
while a > 23 :
	a = a - 2
	d = 154
	g = 33 % d
a = (a % 134)
a = (a % 183)%(180 - 60)
t = (a % 240)
x = 159
if not a == t :
	x = a % 56
print(a)
# output
# 22","# 10

# code
if not 1 <=@"
303,"# code
w = 81
while w >= 80 :
	w = w - 1
	r = 169 / 118
	print(r)
	if w >= 26 :
		u = 3
	if w <= 142 :
		print(w)
print(w)
print(w)
# output
# 1.4322033898305084
# 80
# 1.4322033898305084
# 79
# 79
# 79","# 1.4050632911392404
# 80
# 1.4050632911392404
# 79
# 79
# 79

# code
if  1 > 1 :@"
304,"# code
s = (130 / 2)+(2 - 6)*(6 % 2)
s = 69 + 53
s = (115 / s)*(s / 19)
print(s)
for n in range(55, 58) :
	if s < 120 :
		print(n)
		print(s)
		y = 58
	if not n < s :
		print(s)
print(s)
# output
# 6.052631578947369
# 55
# 6.052631578947369
# 6.052631578947369
# 56
# 6.052631578947369
# 6.052631578947369
# 57
# 6.052631578947369
# 6.052631578947369
# 6.052631578947369","# 5.052631578947368
# 55
# 5.052631578947368
# 56
# 5.052631578947368
# 57
# 5.052631578947368
# 5.052631578947368

# code
if  1 >= 1 :
	print(112)
	print(126)
	print(122)
	print(122)
	print(112@"
305,"# code
a = (8 / 169)-(218 % 2)
h = (a / a)+(a * 42)
if  h <= 149 :
	a = 130 * h
	h = a / 1
	print(h)
a = 60
while a <= 63 :
	a = a + 2
	print(a)
print(a)
# output
# 388.46153846153845
# 62
# 64
# 64","# 62
# 64
# 64

# code
if  1 >= 1 :
	print(131)
	print(@"
306,"# code
r = (154 - 39)+(5 + 2)
print(r)
z = 137
while z >= 132 :
	z = z - 2
	l = 251
if r != 116 :
	u = 192
	d = 58
print(z)
# output
# 122
# 131","# 191
# 131

# code
if not 1 <=@"
307,"# code
l = 18 % 70
i = 169
m = 253
while m > 248 :
	m = m - 3
	y = (m / 121)*(i % 128)-(245 % 29)
	print(y)
print(m)
# output
# 71.71074380165288
# 70.69421487603306
# 247","# 107.0
# 107.0
# 247

# code
if not 1 <= 1 :
	print(176)
	print(@"
308,"# code
for z in range(29, 32, 2) :
	u = 69
	z = (z * u)%(18 - z)
d = 77
if  z == z :
	d = 40 - 195
print(z)
# output
# -6","# -1

# code
if  1 > 1 :@"
309,"# code
o = 4
o = (o + 10)/(84 % 190)
p = 224
while p <= 229 :
	p = p + 2
	r = 168
if o >= 184 :
	o = o - p
print(p)
c = (o - p)/(o * 170)-(p / 117)
print(o)
# output
# 230
# 0.16666666666666666","# 230
# 0.14285714285714285

# code
if not 1 <=@"
310,"# code
b = 12
while b < 17 :
	b = b + 3
	p = (b / 225)
	p = (b % p)/(165 + b)-(197 % 242)
	k = 20
m = 23
b = (b * b)
b = (b % 253)
d = 228
print(b)
# output
# 71","# 18

# code
if  1 > 1 :@"
311,"# code
f = 219
if not f != 223 :
	print(f)
	d = (138 % 242)
	a = (d + d)/(149 + 42)+(191 * f)
	f = (162 % 183)
	q = 1
f = (203 - f)
f = (f - f)%(f + f)%(180 / 187)+(27 / 70)-(f / 178)
if f > f :
	f = 70 + 152
print(f)
# output
# 0.47560192616372393","# -0.04184100418410042

# code
if  1 > 1 @"
312,"# code
z = 3 * 88
y = 238
while y > 233 :
	y = y - 3
	z = 244 % 206
	z = 224 + z
	print(y)
print(z)
# output
# 235
# 232
# 262","# 235
# 232
# 268

# code
if not 1 <=@"
313,"# code
r = (220 - 255)-(8 / 131)-(9 + 43)-(66 % 8)
r = (232 % 177)-(246 + 193)
o = 175
while o >= 174 :
	o = o - 1
	n = 20
x = 22
if r >= r :
	i = 203
print(r)
# output
# -384","# -380

# code
if  1 > 1 :@"
314,"# code
n = 96 % 132
n = (84 + 251)
o = 182
while o > 179 :
	o = o - 2
	print(n)
	if not n == 162 :
		n = n / 172
print(o)
# output
# 335
# 1.947674418604651
# 178","# 335
# 1.430232558139535
# 178

# code
if not 1 <=@"
315,"# code
x = 116
j = 64
while j < 65 :
	j = j + 1
	x = (x / 77)
print(x)
# output
# 1.5064935064935066","# 1.448051948051948

# code
if  1 >= 1 :@"
316,"# code
q = (252 % 65)+(4 + 210)-(6 / 5)*(3 + 2)*(4 / 4)
k = 2
k = k * 124
a = 63
if k != k :
	k = (k % 226)
c = 179
while c <= 184 :
	c = c + 2
	print(a)
print(q)
# output
# 63
# 63
# 63
# 265.0","# 63
# 63
# 63
# 116.6

# code
if not 1 <=@"
317,"# code
print(229)
i = 167
while i >= 166 :
	i = i - 2
	print(i)
if not i > i :
	t = 204 % i
	print(t)
print(i)
# output
# 229
# 165
# 39
# 165","# 229
# 165
# 49
# 165

# code
if not 1 <=@"
318,"# code
for o in range(160, 161, 2) :
	print(o)
	o = (24 % o)*(114 / o)
o = (o - o)-(5 * o)
j = (o % 99)
print(j)
print(j)
# output
# 160
# 13.5
# 13.5","# 160
# 16.0
# 16.0

# code
if not 1 <=@"
319,"# code
print(141)
r = 65
r = (r + r)%(r + r)-(160 + r)
j = 149 / 165
print(r)
g = 154
while g <= 157 :
	g = g + 2
	j = r % 227
	print(g)
print(j)
# output
# 141
# -225
# 156
# 158
# 2","# 141
# -160
# 156
# 158
# 158

# code
if not 1 @"
320,"# code
print(136)
r = (35 * 6)
p = 210
while p >= 205 :
	p = p - 3
	if not p != 136 :
		k = 246
		k = (44 / k)
	if not r <= p :
		print(p)
print(r)
# output
# 136
# 207
# 204
# 210","# 136
# 207
# 204
# 190

# code
if  1 > 1 :@"
321,"# code
k = 188
while k < 189 :
	k = k + 1
	u = k / k
h = 200
h = (h + k)*(h / k)
if  k < h :
	print(k)
	l = 205
	u = 255
print(h)
# output
# 189
# 411.6402116402116","# 189
# 200.0

# code
if  1 > 1 :
	print(176)@"
322,"# code
j = 1 * 207
j = (j - 154)/(j * j)
v = (184 + j)
y = 236
while y >= 235 :
	y = y - 2
	p = 57
	print(j)
print(j)
# output
# 0.0012369016779854838
# 0.0012369016779854838","# 0.000881057268722467
# 0.000881057268722467

# code
if  1 > 1 :
	@"
323,"# code
for l in range(235, 240, 2) :
	if l < l :
		print(l)
t = 50
k = 244
n = (k + t)+(194 % l)
l = t + k
if k >= 244 :
	l = (223 / 187)
print(n)
# output
# 488","# 438

# code
if not 1 <=@"
324,"# code
v = (8 + 1)
v = 53 % v
l = 5
while l < 6 :
	l = l + 2
	s = 96
	print(v)
	s = l * v
print(v)
print(v)
print(l)
# output
# 8
# 8
# 8
# 7","# 1
# 1
# 1
# 7

# code
if  1 > 1 :@"
325,"# code
if 1 == 196 :
	print(175)
	print(155)
elif not 2 <= 3 :
	print(206)
	x = (2 / 4)+(1 + 2)
d = 52 - 8
d = (25 - d)/(d / d)
print(d)
print(d)
print(d)
# output
# -19.0
# -19.0
# -19.0","# -10.0
# -10.0
# -10.0

# code
if  1 > 1 :@"
326,"# code
if 1 >= 6 :
	l = (7 - 41)/(28 - 151)-(9 / 83)
	x = 190
t = 1 % 191
t = t + t
r = 180
while r < 181 :
	r = r + 2
	print(r)
	t = (t / t)%(159 / t)/(t % r)
print(t)
# output
# 182
# 0.5","# 182
# 0.004545454545454545

#@"
327,"# code
o = 134 % 119
for d in range(58, 61, 2) :
	print(d)
d = o + 187
k = 22
s = (o % 99)
k = 29 - 49
print(d)
k = 131 / 191
print(s)
# output
# 58
# 60
# 202
# 15","# 58
# 60
# 26
# 29

# code
if not 1 <= @"
328,"# code
u = (3 - 90)+(9 - 1)
print(u)
s = 82
v = 215
while v > 210 :
	v = v - 2
	a = 162 + v
	a = (v + v)
	p = (129 - v)
v = (u % 70)
print(s)
# output
# -79
# 82","# -87
# 82

# code
if not 1 <=@"
329,"# code
h = (4 - 3)
for n in range(207, 212, 2) :
	print(n)
	n = (h + 145)
	h = (h + h)
print(n)
# output
# 207
# 209
# 211
# 149","# 207
# 209
# 211
# 146

# code
if not 1 <=@"
330,"# code
o = 119
o = (o % o)%(o - 125)
print(o)
r = 188
if  o == o :
	print(o)
	o = (o * 119)-(237 % 189)/(24 + 181)
print(o)
# output
# 0
# 0
# -0.23414634146341465","# 0
# 0
# -0.008130081300813009

# code
if  1 > 1 @"
331,"# code
d = 157
for c in range(29, 34, 3) :
	if d == d :
		print(d)
		b = 18
	elif  c != c :
		d = (d % d)
		c = d * c
		c = (235 / d)
n = (d - 157)
print(n)
# output
# 157
# 157
# 0","# 157
# 157
# -20

# code
if  1 > 1@"
332,"# code
print(143)
h = 20 - 244
print(h)
h = (106 % h)
for o in range(80, 83, 2) :
	c = 207
print(h)
# output
# 143
# -224
# -118","# 143
# -224
# -166

# code
if  1 > 1 :@"
333,"# code
s = 96
while s < 97 :
	s = s + 2
	d = 203
	d = (64 % s)
print(s)
s = (32 + 8)-(s - 207)+(s - s)
n = (38 + s)+(s % 245)
l = 84
print(s)
# output
# 98
# 149","# 98
# 110

# code
if not 1 <=@"
334,"# code
w = 111
while w < 114 :
	w = w + 2
	n = 71
	n = 152
	print(n)
d = 185
print(d)
j = 139 / w
d = (144 / 245)
print(d)
# output
# 152
# 152
# 185
# 0.5877551020408164","# 152
# 152
# 185
# 0.5775510204081632

# code
if  1 > 1 :@"
335,"# code
c = (6 / 85)
if c > 114 :
	print(c)
	print(c)
	o = 125
c = c - 190
print(c)
# output
# -189.9294117647059","# -189.94117647058823

# code
if  1 > 1 @"
336,"# code
print(28)
print(185)
s = 244 % 109
print(s)
if  s == 86 :
	print(s)
print(s)
# output
# 28
# 185
# 26
# 26","# 28
# 185
# 36
# 36

# code
if not 1 <=@"
337,"# code
q = 37
while q > 32 :
	q = q - 3
	if  q > 32 :
		print(q)
a = 255
print(a)
# output
# 34
# 255","# 34
# 31
# 255

# code
if not@"
338,"# code
k = 246
while k >= 245 :
	k = k - 2
	print(k)
if k >= 105 :
	o = k / k
	k = 232
k = 112
k = 208 % 98
print(k)
print(k)
# output
# 244
# 12
# 12","# 244
# 10
# 10

# code
if not 1 <=@"
339,"# code
a = 216 / 4
h = 211
while h > 210 :
	h = h - 1
	f = 140 - 116
c = (251 / 203)
print(h)
h = (92 - a)%(124 / a)
print(c)
print(h)
# output
# 210
# 1.2364532019704433
# 1.2592592592592595","# 210
# 1.2335329341317365
# 0.631578947368421

# code
if  1 > 1 :
@"
340,"# code
if 5 != 3 :
	q = 7 - 2
	q = q * q
	y = 87
	y = q / 100
	print(y)
elif 0 <= 5 :
	print(65)
print(109)
# output
# 0.25
# 109","# 0.05
# 109

# code
if not 1 <=@"
341,"# code
p = 81 - 2
for g in range(154, 159) :
	f = 140
	if f < g :
		e = 109
l = (39 / 21)/(g % 142)
print(l)
l = 143 + 46
print(l)
n = (g + 20)
print(p)
# output
# 0.11607142857142858
# 189
# 79","# 0.038461538461538464
# 189
# 79

# code
if not 1 <@"
